N,Yes,Unknown,No,Capacity,Question
1,2,4,6,A,"Делаете ли Вы необдуманные замечания или обвинения, о которых Вы после жалеете?"
2,6,5,3,C,"В то время, когда другие начинают терять терпение, остаетесь ли Вы достаточно спокойным?"
3,6,4,3,E,"Просматриваете ли Вы расписания движения поездов, телефонные справочники или словари ради удовольствия?"
4,3,4,6,G,"Если Вас попросят принять какое-то решение, может ли Вас поколебать Ваше чувство расположения или нерасположения по отношению к человеку, о котором идет речь?"
5,4,4,5,I,"Намереваетесь ли Вы иметь двух детей (или менее) в семье, даже если состояние Вашего здоровья и уровень доходов позволяют иметь больше детей?"
6,3,3,6,C,"Сводит ли у Вас время от времени мышцы, даже когда для этого нет никакого логического объяснения?"
7,3,4,5,E,"Вы предпочитаете находиться в ситуации, когда не приходится отвечать за принятие решений?"
8,2,4,5,A,Считают ли другие люди Ваши поступки непредсказуемыми?
9,3,4,4,I,"Считаете ли Вы, что на социальное обеспечение должно расходоваться больше денежный средств?"
10,5,4,4,G,Сильно ли Вас интересуют другие люди?
11,3,4,5,C,"Является ли Ваш голос скорее монотонным, чем гибким?"
12,2,4,6,E,"Ждете ли Вы обычно, чтобы другой человек начал разговор?"
13,5,4,3,G,Охотно ли Вы включаетесь в разговоры других людей?
14,2,4,5,I,"Помешает ли Вам охотиться или ловить рыбу мысль о причинении боли дичи (птицам), маленьким животным или рыбам?"
15,3,3,6,A,Часто ли бываете импульсивны в своем поведении?
16,3,4,4,E,Медленно ли Вы говорите?
17,2,4,5,A,Беспокоит ли Вас необходимость беречь здоровье?
18,2,6,6,C,Вызывает ли у Вас напряжение мышц какое-нибудь неожиданное действие?
19,5,3,3,I,"Бываете ли Вы обычно тактичны в своих требованиях к подчиненным, родственникам, ученикам?"
20,5,5,3,G,"Считаете ли Вы, что способны дать ценное ""моментальное суждение""?"
21,2,3,6,B,Беспокоят ли Вас до сих пор прошлые неудачи?
22,1,5,6,D,Бывают ли у Вас периоды повышенной активности несколько дней подряд?
23,5,4,3,F,"Возмущают ли Вас усилия других людей указывать Вам, что Вы должны делать?"
24,3,5,6,H,Трудно ли Вам обычно откровенно в чем-то признаться и взять на себя вину?
25,3,1,5,J,"Есть ли у Вас скорее небольшой круг близких друзей, чем большое количество приятелей, с которыми Вы просто можете поболтать?"
26,2,3,6,D,Является ли Ваша жизнь постоянной борьбой за выживание?
27,5,4,4,B,Часто ли Вы напеваете или насвистываете?
28,6,2,2,J,Считают ли Вас Ваши друзья сердечным отзывчивым человеком?
29,6,3,3,F,"Вы больше предпочитаете отдавать приказы, чем исполнять их?"
30,3,4,6,H,Доставляет ли Вам удовольствие рассказывать самые свежие сплетни о Ваших знакомых?
31,5,4,4,F,"Согласились бы Вы на ""строгую дисциплину""?"
32,2,4,6,D,"Сильно ли Вас беспокоит мысль о том, что надо начать какое-то новое дело?"
33,6,5,3,B,Пытаетесь ли Вы рассмешить других людей и заставить их улыбаться?
34,6,3,3,J,Легко ли Вам выражать свои эмоции?
35,5,5,2,H,"Воздерживаетесь ли Вы от высказывания недовольства, если кто-то опоздал на встречу?"
36,3,5,6,B,"Считают ли Вас иногда человеком, который портит настроение другим?"
37,3,4,6,H,"Считаете ли Вы, что есть люди, которые явно недружелюбны по отношению к Вам и ""копают"" под Вас?"
38,4,4,5,F,"Можете ли Вы признать, что были неправы, только ради того, чтобы ""сохранить мир""?"
39,3,4,5,J,"Правда ли, что есть всего несколько человек, которых Вы любите по-настоящему?"
40,2,3,5,D,"Правда ли, что Вы редко бываете счастливы, если только для этого нет особой причины?"
41,6,4,4,E,"Будучи в компании, активно ли Вы общаетесь с друзьями?"
42,5,3,3,A,"Принимаете ли Вы разумные меры предосторожности, чтобы избежать несчастных случаев?"
43,4,4,5,C,"Нервничаете ли Вы при мысли о том, что Вам предстоит выступать перед аудиторией?"
44,2,3,6,I,"Если бы Вы увидели в магазине товар, на котором явно по ошибке проставлена более низкая цена, попытались бы Вы приобрести его по этой цене?"
45,3,4,5,G,"Часто ли Вы ощущаете, что люди смотрят на Вас или говорят о Вас за Вашей спиной?"
46,3,3,5,A,"Правда ли, что Вы вечно попадаете в неприятности?"
47,2,5,6,C,"Есть ли нечто, что Вы особенно боитесь или не любите?"
